            -10.0000              2.3461              0.0000
             -9.0000              2.5296              0.0000
             -8.0000              2.7358              0.0000
             -7.0000              2.9676              0.0000
             -6.0000              3.2241              0.0000
             -5.0000              3.5030              0.0000
             -4.0000              3.7939              0.0000
             -3.0000              4.0785              0.0000
             -2.0000              4.3260              0.0000
             -1.0000              4.5025              0.0000
              0.0000              4.5680              0.0000
              1.0000              4.5025              0.0000
              2.0000              4.3260              0.0000
              3.0000              4.0785              0.0000
              4.0000              3.7939              0.0000
              5.0000              3.5030              0.0000
              6.0000              3.2241              0.0000
              7.0000              2.9676              0.0000
              8.0000              2.7358              0.0000
              9.0000              2.5296              0.0000
